Tipo, Título, Data, Relator, Sumário, Processo, Tipo de Processo, Interessado / Responsável / Recorrente, Entidade, Representante do Ministério Público, Unidade Técnica, Representante Legal, Assunto, Endereço do Arquivo
"ACÓRDÃO", "ACÓRDÃO 143/2021 ATA 2/2021 - PLENÁRIO", "27/01/2021", "JORGE OLIVEIRA", "REPRESENTAÇÃO COM PEDIDO DE CONCESSÃO DE MEDIDA CAUTELAR. CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE IMAGENS DE ALTA RESOLUÇÃO, JUNTAMENTE COM O SERVIÇO DE NATUREZA CONTINUADA DE LICENCIAMENTO DESSAS IMAGENS, PARA USO EM ATIVIDADES LIGADAS À SEGURANÇA PÚBLICA. SUPOSTA EXISTÊNCIA DE IMAGENS QUE PODERIAM SER DISPONIBILIZADAS PELO INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS E QUE ATENDERIAM À FINALIDADE PRETENDIDA PELA CONTRATAÇÃO. POSSÍVEL FALHA NA CONTRATAÇÃO DIRETA POR INEXIGIBILIDADE DE LICITAÇÃO. CONCESSÃO E POSTERIOR REVOGAÇÃO DE MEDIDA CAUTELAR PARA SUSPENSÃO DOS EFEITOS DO CONTRATO JÁ ASSINADO. REALIZAÇÃO DE OITIVAS E DILIGÊNCIAS. ANÁLISE DOS ELEMENTOS APRESENTADOS. COMPROVAÇÃO DE QUE A ASSINATURA DO CONTRATO FOI PRECEDIDA DA REALIZAÇÃO DE ESTUDOS SUFICIENTES PARA FUNDAMENTAR A SOLUÇÃO ADOTADA. DIFERENÇAS EXISTENTES ENTRE OS PRODUTOS DISPONIBILIZADOS PELO INPE E OS INCLUÍDOS NO ESCOPO DO CONTRATO. IMPROCEDÊNCIA DA REPRESENTAÇÃO. ARQUIVAMENTO.", "031.306/2020-9", "REPRESENTAÇÃO (REPR)", "3. Representante: Ministério Público junto ao Tribunal de Contas da União.", " Departamento de Polícia Federal.", " não atuou.", " Secretaria de Controle Externo da Defesa Nacional e da Segurança Pública (SecexDefesa).", " Rodrigo de Oliveira Kaufmann (23.866/OAB-DF) e outros, representando Santiago & Cintra Consultoria Ltda.  ", "Representação sobre possíveis irregularidades na contratação de empresa para fornecimento de imagens de alta resolução.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=735215"
"ACÓRDÃO", "ACÓRDÃO 4080/2020 ATA 47/2020 - PLENÁRIO", "08/12/2020", "WEDER DE OLIVEIRA", "MONITORAMENTO. IRREGULARIDADES NA CONDUÇÃO DE CERTAME LICITATÓRIO. AUDIENCIAS. DESCUMPRIMENTO DE DECISÃO DO TCU. AUDIENCIAS.", "021.948/2019-4", "REPRESENTAÇÃO (REPR)", "3. Responsáveis: Carlos Alberto de Carvalho Filho (CPF 022.083.957/35), Paulo Augusto Dias de Oliveira (CPF 336.882.817-72), Ana Cristina Pinho Mendes Pereira (CPF 963.203.627-15).", " Instituto Nacional do Câncer José de Alencar Gomes da Silva.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " não há", "Representação sobre possíveis irregularidades em contratação, em caráter emergencial, de prestação continuada de serviço de alimentação e nutrição hospitalar a servidores, estagiários, residentes, acompanhantes, pacientes e outros autorizados dos Hospitais do Câncer (HC) II, III e IV. Monitoramento de deliberação.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=728688"
"ACÓRDÃO", "ACÓRDÃO 3066/2020 ATA 44/2020 - PLENÁRIO", "18/11/2020", "BENJAMIN ZYMLER", "REPRESENTAÇÃO. LICITAÇÃO REALIZADA COM FUNDAMENTO NO REGIME DIFERENCIADO DE CONTRATAÇÕES PÚBLICAS (RDC) PARA CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA CONSULTIVA. DESCLASSIFICAÇÃO INDEVIDA DE PROPOSTA MAIS VANTAJOSA. EXPEDIÇÃO DE CAUTELAR SUSPENDENDO O CERTAME. OITIVA. CONHECIMENTO. PROCEDÊNCIA. DETERMINAÇÃO PARA ANULAR DECISÃO DA COMISSÃO DE LICITAÇÃO QUE DEU PROVIMENTO AO RECURSO DA INTERESSADA E DESCLASSIFICOU A REPRESENTANTE. ARQUIVAMENTO.", "015.476/2020-0", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis:<br>3.1. Interessado: Architectus S/S (05.677.555/0001-96).", " Fundação Oswaldo Cruz.", " não atuou.", " Secretaria de Fiscalização de Infraestrutura Urbana (SeinfraUrb).", "  <br>8.1. Hélio Lucas de Figueiredo Correia Morais (22.121/OAB-CE) e outros, representando Architectus S/S.  <br>8.2. Victor Athayde Silva (181.411/OAB-RJ), representando Arqhos Consultoria e Projetos. ", "Representação noticiando supostas irregularidades na condução de certame licitatório cujo objeto é a contratação de serviços de engenharia consultiva. Análise das oitivas.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=727189"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2984/2020 ATA 43/2020 - PLENÁRIO", "11/11/2020", "ANA ARRAES", "", "033.861/2020-0", "REPRESENTAÇÃO (REPR)", " Basis Tecnologia da Informação S.A. (CNPJ 11.777.162/0001-57).", " Coordenação Geral de Material e Patrimônio/Ministério da Saúde.", " não atuou.", " Secretaria de Fiscalização de Tecnologia da Informação - Sefit.", " Graziela Marise Curado (OAB/DF 24.565).", "", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=21458217"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2514/2020 ATA 36/2020 - PLENÁRIO", "23/09/2020", "AUGUSTO NARDES", "", "029.220/2020-3", "REPRESENTAÇÃO (REPR)", "", " Comando da Aeronáutica", " não atuou", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " Maximilian Marin Trevisan e outros, representando Maxima do Brasil Gestao e Consultoria Eireli e Maxima do Brasil Gestao e Consultoria Eireli. ", "", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=21057300"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2506/2020 ATA 36/2020 - PLENÁRIO", "23/09/2020", "BENJAMIN ZYMLER", "", "030.711/2020-7", "REPRESENTAÇÃO (REPR)", "", " Justiça Federal - Seção Judiciária/RJ - TRF-2", " não atuou", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " Priscila Thayse da Silva (34314/OAB-SC) e outros, representando Lideranca Limpeza e Conservação Ltda. ", "", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=21059625"
"ACÓRDÃO", "ACÓRDÃO 2265/2020 ATA 32/2020 - PLENÁRIO", "26/08/2020", "BENJAMIN ZYMLER", "representação com pedido de cautelar. supostas Irregularidades EM concorrência conduzida pelo CRMV/SP para contratação de reforma do Edifício Sede da entidade, em são paulo/sp. cautelar indeferida. conhecimento e imProcedência. arquivamento.", "028.129/2020-2", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: não há.", " Conselho Regional de Medicina Veterinária do Estado de São Paulo.", " não atuou.", " Secretaria de Fiscalização de Infraestrutura Urbana (SeinfraUrb).", " não há", "Representação sobre possíveis irregularidades em edital de concorrência cujo objeto é a contratação de empresa de engenharia para a execução de reforma da sede do órgão.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=717741"
"ACÓRDÃO", "ACÓRDÃO 2185/2020 ATA 31/2020 - PLENÁRIO", "19/08/2020", "RAIMUNDO CARREIRO", "REPRESENTAÇÃO. 1ª BRIGADA DE INFANTARIA DE SELVA/RR. PREGÃO ELETRÔNICO 35/2020. AUSÊNCIA DE IRREGULARIDADES. IMPROCEDÊNCIA. INDEFERIMENTO DE CAUTELAR CIÊNCIA. ARQUIVAMENTO.", "026.788/2020-9", "REPRESENTAÇÃO (REPR)", "3. Representante: Bandolin Fornecimento de Refeições Ltda. (CNPJ 96.216.429/0001-90)", " Comando da 1ª Brigada de Infantaria de Selva.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " não há", "Representação sobre possíveis irregularidades em licitação que tem por objeto a contratação de empresa especializada na prestação de serviço de confecção de alimentação para os comensais refugiados oriundos da Venezuela e os comensais empregados no apoio à atividade.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=717016"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 8066/2020 ATA 25/2020 - PRIMEIRA CÂMARA", "28/07/2020", "WALTON ALENCAR RODRIGUES", "", "018.754/2020-1", "REPRESENTAÇÃO (REPR)", "", " Departamento Penitenciário Nacional", " não atuou", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " Luci Meire Franco Bandolin e outros, representando LBL Alimentação Ltda. ", "", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=20489176"
"ACÓRDÃO", "ACÓRDÃO 1755/2020 ATA 25/2020 - PLENÁRIO", "08/07/2020", "RAIMUNDO CARREIRO", "REPRESENTAÇÃO. MINISTÉRIO DA ECONOMIA. PREGÃO ELETRÔNICO 12/2019. SUPOSTA INEXEQUIBILIDADE DA PROPOSTA VENCEDORA. NÃO COMPROVAÇÃO. IMPROCEDÊNCIA. INDEFERIMENTO DE CAUTELAR CIÊNCIA. ARQUIVAMENTO.", "015.951/2020-0", "REPRESENTAÇÃO (REPR)", "3. Representante/Interessados/Responsáveis:<br>3.1. Representante: City Service Segurança Ltda. (37.077.716/001-05)<br>3.2. Interessado: Confederal Vigilancia e Transporte de Valores Ltda (31.546.484/0001-00).", " Ministério da Economia.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", "  <br>8.1. Karina Amorim Sampaio Costa (23.803/OAB-DF) e outros, representando Confederal Vigilancia e Transporte de Valores Ltda.  <br>8.2. Eduardo Han (11.714/OAB-DF) e outros, representando City Service Segurança Ltda. ", "Representação acerca de supostas irregularidades na condução da licitação que teve por objeto contratação de empresa especializada na prestação de serviços de prevenção e combate a princípios de incêndios e acidentes, incluindo fornecimento de material de brigada, salvamentos e primeiros socorros, abandono de edificação e desenvolvimento de política prevencionista de segurança contra incêndio.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=711664"
"ACÓRDÃO", "ACÓRDÃO 1650/2020 ATA 23/2020 - PLENÁRIO", "24/06/2020", "AUGUSTO SHERMAN", "¿Representação. Possíveis irregularidades no Pregão Eletrônico para Registro de Preços 5/2019. Diligências. Oitiva do INSS. Constatação de inobservância da jurisprudência do Tribunal quanto à contratação parcial de serviços licitados sob a modelagem de preço global. Conhecimento. Procedência parcial. Ciência.¿ ¿", "033.905/2019-3", "REPRESENTAÇÃO (REPR)", "3. Representante: Força e Apoio Segurança Privada Ltda. (CNPJ: 02.983.749/0001-21).", "  Superintendência Regional do Sudeste I do Instituto Nacional do Seguro Social (SR-I/INSS).", " não atuou.", " Selog.", " não consta.", "Representação sobre possíveis irregularidades praticadas em pregão eletrônico cujo objeto é contratação de serviços de vigilância.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=704831"
"ACÓRDÃO", "ACÓRDÃO 1546/2020 ATA 22/2020 - PLENÁRIO", "17/06/2020", "RAIMUNDO CARREIRO", "REPRESENTAÇÃO. INSTITUTO NACIONAL DO SEGURO SOCIAL - GERÊNCIA REGIONAL EM SÃO PAULO (INSS - GR/SP). PREGÃO ELETRÔNICO 8/2020. CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREDIAL DE CARÁTER PREVENTIVO E CORRETIVO. O EXAME DAS RESPOSTAS ÀS OITIVAS DEMONSTRA AUSÊNCIA DE ILEGALIDADE OU IRREGULARIDADE. REPRESENTAÇÃO IMPROCEDENTE. ARQUIVAMENTO.", "016.897/2020-0", "REPRESENTAÇÃO (REPR)", "3. Representante: Aigle Empreendimentos Ltda. - EPP (00.118.039/0001-08)", " Instituto Nacional do Seguro Social.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", "  <br>8.1. Claudio Luis Arruda Silva e outros, representando Aigle Empreendimentos Ltda. ", "Representação acerca de supostas irregularidades na licitação que teve por objeto contratação de empresa especializada para prestar serviços de manutenção predial de caráter preventiva e corretiva de risco e de demanda, de forma contínua, no interesse da Administração, com fornecimento de materiais, peças e componentes.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=710123"
"ACÓRDÃO", "ACÓRDÃO 1508/2020 ATA 21/2020 - PLENÁRIO", "10/06/2020", "ANDRÉ DE CARVALHO", "AUDITORIA. CONTRATAÇÕES DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO (TI). AQUISIÇÕES BASEADAS EM UNIDADE DE SERVIÇOS TÉCNICOS (UST), ENTRE OUTRAS DENOMINAÇÕES SIMILARES. NECESSIDADE DE MEDIDAS ESTRUTURANTES PELA ADMINISTRAÇÃO FEDERAL COM VISTAS À MITIGAÇÃO DOS RISCOS NA CONTRATAÇÃO POR UST. RECOMENDAÇÕES. DETERMINAÇÃO. ARQUIVAMENTO. CIÊNCIA.", "022.253/2019-0", "RELATÓRIO DE AUDITORIA (RA)", "3. Responsáveis: não há.", "", " não atuou.", " Secretaria de Fiscalização de Tecnologia da Informação (Sefti).", "  <br>8.1. Mayrluce Alves de Sousa (61.298/OAB-DF), entre outros, representando a MBA Tecnologia Ltda.   <br>8.2. Luiz Antônio Ferreira Bezerril Beltrão (19.773/OAB-DF), entre outros, representando a MBA Tecnologia Ltda. e a Central IT Tecnologia da Informação Ltda. como amici curiae. ", "Auditoria realizada em 55 (cinquenta e cinco) contratações públicas federais, com o objetivo de avaliar, especificamente em aquisições baseadas em Unidade de Serviços Técnicos (UST), entre outras denominações similares, se a execução contratual estaria assegurando critérios capazes de aferir pagamentos por resultados a preços razoavelmente condizentes.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=708561"
"ACÓRDÃO", "ACÓRDÃO 1479/2020 ATA 21/2020 - PLENÁRIO", "10/06/2020", "ANA ARRAES", "PEDIDO DE REEXAME. REPRESENTAÇÃO ACERCA DE PREÇOS PRATICADOS EM TERCEIRIZAÇÃO DE SERVIÇOS ADMINISTRATIVOS DO SENADO FEDERAL. DISCREPÂNCIA ENTRE OS PISOS SALARIAIS CONTRATADOS E AQUELES ESTABELECIDOS NAS CONVENÇÕES COLETIVAS DE TRABALHO (CCT). DETERMINAÇÃO DO TCU PARA NÃO PRORROGAÇÃO DO CONTRATO. RESOLUÇÃO DO SENADO FEDERAL. INCONSTITUCIONALIDADE NO CASO CONCRETO. CONHECIMENTO. NÃO PROVIMENTO.", "017.172/2018-7", "REPRESENTAÇÃO (REPR)", "3. Recorrente: Senado Federal.", " Senado Federal.", " procurador Sérgio Ricardo Costa Caribé.", " Secretaria de Recursos (Serur).", " Heyrovsky Torres Rodrigues (OAB/DF 33.838) e outros representando a Intelit Service Ltda.; Monique Rafaella Rocha Furtado (OAB/DF 34.131) e outros representando a El Dorado Serviços Profissionais Eireli.", "Pedido de reexame interposto contra acórdão que proferiu determinação ao recorrente em processo de representação sobre possíveis irregularidades em pregão eletrônico para a contratação de empresa de prestação de serviços de apoio administrativo nas dependências do complexo arquitetônico e nas residências oficiais do órgão.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=698966"
"ACÓRDÃO", "ACÓRDÃO 6336/2020 ATA 18/2020 - SEGUNDA CÂMARA", "09/06/2020", "AUGUSTO NARDES", "TOMADA DE CONTAS ESPECIAL. PRESTAÇÃO DE SERVIÇO DE SUPORTE OPERACIONAL, RECEPÇÃO E APOIO ADMINISTRATIVO. PAGAMENTOS EM DUPLICIDADE. OPERAÇÃO MÃO DE OBRA DA POLÍCIA FEDERAL. CITAÇÃO. REVELIA. CONTAS IRREGULARES DE ALGUNS RESPONSÁVEIS. EXCLUSÃO DA RELAÇÃO PROCESSUAL DE OUTROS. DÉBITO. MULTA. CIÊNCIA. EMBARGOS DE DECLARAÇÃO. CONHECIMENTO. AUSÊNCIA DE OMISSÃO, OBSCURIDADE E CONTRADIÇÃO ALEGADAS. NÃO ACOLHIMENTO.", "004.149/2013-0", "TOMADA DE CONTAS ESPECIAL (TCE)", "3. Interessados/Responsáveis/Recorrentes:<br>3.1. Interessado: Carlos Bruno Ferreira da Silva (011.228.347-05)<br>3.2. Responsáveis: Adriana Lopes Lacerda (611.518.231-04); Conservo Brasilia Servicos Tecnicos Ltda (00.009.282/0001-98); Eduardo Miranda Lopes (635.565.101-20); Helio Barbosa da Silva (245.565.801-53); Joao da Cruz Naves (112.730.971-49); Lilian de Azevedo Goncalves (153.307.881-53); Paulo Cézar Magalhães Cézar (143.887.231-34); Sylvio Rômulo Guimarães de Andrade Júnior (398.896.531-68); Victor João Cúgola (135.881.686-72)<br>3.3. Recorrentes: Lilian de Azevedo Goncalves (153.307.881-53); Sylvio Rômulo Guimarães de Andrade Júnior (398.896.531-68); Adriana Lopes Lacerda (611.518.231-04); Paulo Cézar Magalhães Cézar (143.887.231-34); Helio Barbosa da Silva (245.565.801-53).", " Secretaria Executiva do Ministério da Justiça e Segurança Pública.", " Subprocurador-Geral Lucas Rocha Furtado.", " Secretaria de Recursos (SERUR); Secretaria de Controle Externo da Defesa Nacional e da Segurança Pública (SecexDefes).", "  <br>8.1. Claudia Karolinne de Figueiredo Pereira da Cruz e outros, representando Fernando Catão de Almeida Paiva.  <br>8.2. Thamara Kyth (8464/OAB-DF), representando Eduardo Miranda Lopes. ", "Embargos de declaração opostos contra o Acórdão 1927/2019-TCU-2ª Câmara, por meio do qual esta Corte julgou irregulares as contas dos embargantes, condenando-os ao pagamento de débitos e aplicando-lhes a multa prevista no art. 57 da Lei 8.443/1992, c/c o art. 267 do Regimento Interno do Tribunal de Contas da União.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=699659"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 5982/2020 ATA 17/2020 - SEGUNDA CÂMARA", "02/06/2020", "AUGUSTO NARDES", "", "040.065/2019-7", "REPRESENTAÇÃO (REPR)", " M3 Manutenção e Montagens Ltda (74.024.274/0001-57)", " Hospital Federal dos Servidores do Estado", " não atuou", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " José Guilherme Berman Corrêa Pinto (119454/OAB-RJ) e outros, representando Vivacom Comercio e Servicos Ltda; Rogério David Carneiro (106.005/OAB-RJ) e outros, representando M3 Manutenção e Montagens Ltda. ", "", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=19404594"
"ACÓRDÃO", "ACÓRDÃO 1262/2020 ATA 17/2020 - PLENÁRIO", "20/05/2020", "AUGUSTO NARDES", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO 11/2019. CONTRATAÇÃO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL. ACÓRDÃO 2.823/2019-TCU-PLENÁRIO. CONHECIMENTO. OITIVAS. FALTA DE CLAREZA NA DEFINIÇÃO DO OBJETO. RESTRIÇÃO À COMPETITIVIDADE. POSSIBILIDADE DE CARACTERIZAÇÃO DE VÍNCULO EMPREGATÍCIO. ESCLARECIMENTOS INSUFICIENTES. DETERMINAÇÕES PARA CORREÇÃO DO CERTAME. ARQUIVAMENTO.", "031.453/2019-8", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: não há.", " Empresa Brasileira de Administração de Petróleo e Gás Natural S.A. Pré -Sal Petróleo S.A - PPSA.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", "  <br>8.1. Fabio Garcia Palmer e outros, representando Seres Serviços de Recrutamento e Seleção de Pessoal Ltda.<br>8.2. Jorge Luis Corrêa Bastos, representando B-IN Brasil Consultoria Ltda.", "Representação sobre supostas irregularidades em pregão eletrônico para contratação de empresa especializada na prestação de serviços de apoio administrativo, técnico e operacional para suporte às atividades desenvolvidas nas áreas de engenharia de poço, de acompanhamento e controle da produção, comercialização de petróleo e gás natural e gestão de contratos de partilha de produção e acordos de individualização da produção.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=698482"
"ACÓRDÃO", "ACÓRDÃO 916/2020 ATA 12/2020 - PLENÁRIO", "15/04/2020", "BENJAMIN ZYMLER", "REPRESENTAÇÃO. LICITAÇÃO REALIZADA COM FUNDAMENTO NO REGIME DIFERENCIADO DE CONTRATAÇÕES PÚBLICAS (RDC) PARA CONTRATAÇÃO DE SERVIÇOS DE ENGENHARIA CONSULTIVA. INDÍCIOS DE DESCLASSIFICAÇÃO INDEVIDA DE PROPOSTA MAIS VANTAJOSA. CONCESSÃO DE MEDIDA CAUTELAR PARA SUSPENDER O CERTAME. OITIVA. REFERENDO.", "015.476/2020-0", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: não há.", " Fundação Oswaldo Cruz.", " não atuou.", " Secretaria de Fiscalização de Infraestrutura Urbana (SeinfraUrb).", " Victor Athayde Silva (OAB 181.411/RJ) e outros, representando Arqhos - Consultoria e Projetos.", "Referendo de medida cautelar concedida em processo de representação em face de certame licitatório cujo objeto é a contratação de serviço de engenharia para o desenvolvimento de anteprojetos, projetos básicos e executivos em edificações.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=705199"
"ACÓRDÃO", "ACÓRDÃO 3357/2020 ATA 8/2020 - SEGUNDA CÂMARA", "02/04/2020", "RAIMUNDO CARREIRO", "REPRESENTAÇÃO. POSSÍVEIS IRREGULARIDADES EM PREGÃO ELETRÔNICO. CONHECIMENTO. PROCEDÊNCIA PARCIAL. INDEFERIMENTO DO PEDIDO DE INGRESSO NOS AUTOS. COMUNICAÇÃO. ARQUIVAMENTO.", "009.405/2020-8", "REPRESENTAÇÃO (REPR)", "3. Representante: Atlântico Engenharia Ltda. (CNPJ 14.355.750/0001-90)", " Superintendência de Administração no Distrito Federal (SAD-DF) / Advocacia Geral da União (AGU)", " não atuou", " Secretaria de Controle Externo de Aquisições Logísticas (Selog)", " Ana Tereza Castro Silva Ribeiro (OAB/DF 48149) ", "Representação acerca de possíveis irregularidades no pregão eletrônico cujo objeto é de serviços de manutenção predial, preventiva e corretiva (sob demanda), continuados, com dedicação exclusiva de mão de obra, bem como serviços comuns e eventuais sob demanda, para a realização de serviços diversos nos sistemas, equipamentos e instalações das unidades da AGU em Brasília – DF, compreendendo o fornecimento de postos de serviços, peças, materiais de reposição e equipamentos necessários e adequados à execução dos serviços.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=703147"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 3226/2020 ATA 8/2020 - SEGUNDA CÂMARA", "02/04/2020", "ANA ARRAES", "", "003.978/2020-6", "REPRESENTAÇÃO (REPR)", " Maciel Consultores S/S Ltda.(CNPJ 10.757.529/0001-08)", " Ministério das Relações Exteriores - MRE.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", " Luis Felipe Canto Barros (OAB/RS 65230) e outros, representando Maciel Consultores S/S Ltda. ", "", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=19428278"
"ACÓRDÃO", "ACÓRDÃO 737/2020 ATA 10/2020 - PLENÁRIO", "01/04/2020", "BRUNO DANTAS", "REPRESENTAÇÃO. IRREGULARIDADES NO PREGÃO ELETRÔNICO 10/2018. MANUTENÇÃO PREDIAL. HOSPITAL FEDERAL DO ANDARAÍ. CONHECIMENTO. DEFERIMENTO DE MEDIDA CAUTELAR. SUSPENSÃO DO CERTAME. OITIVAS. DISCUSSÃO SOBRE HABILITAÇÃO DE LICITANTES E CONTRATAÇÕES DIRETAS CONTÍNUAS POR LONGO PERÍODO. PROCEDÊNCIA PARCIAL. DETERMINAÇÃO PARA ANÁLISE DE PLANILHA DE CUSTOS E EXEQUIBILIDADE DA PROPOSTA DE LICITANTE ANTERIORMENTE INABILITADA. RECOMENDAÇÃO PARA APRIMORAR A ÁREA DE LICITAÇÕES E CONTRATOS. CIÊNCIA AOS INTERESSADOS.", "009.390/2019-7", "REPRESENTAÇÃO (REPR)", "3. Interessado: Navele Empreendimentos e Serviços Ltda. (29.762.861/0001-99).", " Hospital Federal do Andaraí.", " não atuou.", " Secretaria de Controle Externo de Aquisições Logísticas (Selog).", "  <br>8.1. José Guilherme Berman Corrêa Pinto (119454/OAB-RJ) e outros, representando Vivacom Comércio e Serviços Ltda.  <br>8.2. Luiza Ferreira de Souza (CPF109.123.167-21), representando Navele Empreendimentos e Serviços Ltda.  <br>8.3. Vanessa de Castro Pastore (146.817/OAB-RJ) e outros, representando S.M.21 Engenharia e Construções S.A.. ", "Representação sobre possíveis irregularidades ocorridas em pregão eletrônico que teve por objetivo contratar serviços de manutenção predial.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=703174"
"ACÓRDÃO", "ACÓRDÃO 551/2020 ATA 7/2020 - PLENÁRIO", "11/03/2020", "AUGUSTO SHERMAN", "REPRESENTAÇÃO DE AUTORIA DA EMPRESA G I - EMPRESA DE SEGURANÇA LTDA. POSSÍVEIS IRREGULARIDADES RELACIONADAS A CLÁUSULA EDITALÍCIA RESTRITIVA DA COMPETITIVIDADE DE CERTAME LICITATÓRIO. SOLICITAÇÃO DE ADOÇÃO DE MEDIDA CAUTELAR OBSTATIVA DA CELEBRAÇÃO DE CONTRATO. CONHECIMENTO. AUSÊNCIA DE CONFIGURAÇÃO DE IRRAZOABILIDADE NA EXIGÊNCIA EDITALÍCIA RELACIONADA À COMPROVAÇÃO DE CAPACIDADE TÉCNICA ATACADA NA REPRESENTAÇÃO. IMPROCEDÊNCIA. CIÊNCIA À EMPRESA REPRESENTANTE E AO STF.", "000.738/2020-4", "REPRESENTAÇÃO (REPR)", "3. Interessada: G1 - Empresa de Segurança Ltda. (07.473.476/0001-99).", " Supremo Tribunal Federal - STF.", " não atuou. ", " Selog.", " Nerylton Thiago Lopes Pereira (24749/OAB-DF) e outros, representando G I -  Empresa de Segurança Ltda.   ", "Representação acerca de irregularidades em pregão eletrônico destinado à contratação de empresa para a prestação de serviços de apoio operacional na área de segurança pessoal privada no Estado de São Paulo.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=698149"
